Sl.,Course,Course Title,No. of,Pricing,,Sl.,Course,Course Title,No. of,Pricing,
No.,Code,,Blocks,in Rs.,,No.,Code,,Blocks,in Rs.,
,,,,English,Hindi,,,,,English,Hindi
,,,,,,,50. MPSE-008,State Politics in India,1,325.00,350.00
34. MLISE-4,Technical Writing,,4,500.00,-,,,,,,
,,,,,,,,Hkkjr ea jkT;h; jktuhfr,,,
35. MLISE-5,Informetrics and Scienteomtrics 4,,,775.00,-,,,,,,
,,,,,,,51. MPSE-009,Canada: Politics and Society,1,450.00,475.00
36. MLISE-6,Public Library System,,4,525.00,-,,,dukMk% jktuhfr vkSj lekt,,,
,and Services,,,,,,,,,,
,,,,,,,52. MPSE-010,Master ofArts,1,225.00,125.00
37. MLI-101,"Information, Communication",,,,,,,(Political Science),,,
,Part Iand Society & II,,4,700.00,-,,,,,,
,,,,,,,53. MPSE-011,European Union in,1,325.00,450.00
‘38. MLI-102,Management of Library,,4,725.00,-,,,World Affairs,,,
,and Part Information,,,,,,,";jkih; l?k ,oa fo’o",,,
,Centres & II,,,,,,,jktuhfr,,,
39. MPS-001,,,4,600.00,750.00,,54. MPSE-012,State and Society inAustralia,1,400.00,525.00
40. MPS-002,International Relations:,,,,,,,vkLVafy;k ea jkT; vkSj lekt,,,
,Theory and Problems,,2,675.00,750.00,,55. MPSE-013,Australia’s Foreign Policy,1,300.00,425.00
,"vUrjk""Vah; lEcU/k %",,,,,,,vkLVafy;k dh fon’k uhfr,,,
,"fl}kr ,oa leL;k,¡",,,,,,,,,,
,,,,,,,57. MPA-001,Understanding Natural,1,425.00,500.00
41. MPS-003,India: Democracy and,,,,,,,Disasters,,,
,Development,,4,575.00,600.00,,,,,,
,,,,,,,,izk— frd vkinkvka dks le>uk,,,
,Hkkjr% ykdr= vkSj fodkl,,,,,,,,,,
,,,,,,,58. MPA-002,Understanding Man-made,1,375.00,425.00
42. MPS-004,Comparative Politics: Issues,,2,650.00,800.00,,,Disaster,,,
,and Trends,,,,,,,Ekkuo&fufer vkinkvka dk le>uk,,,
,RkyukRed jktuhfr eÌs,,,,,,,,,,
,vkSj izo`fRr;ka,,,,,,59. MPA-003,RiskAssessment and,1,600.00,675.00
,,,,,,,,VulnerabilityAnalysis,,,
43. MPSE-001,India and the World,,,450.00,575.00,,,tkf[ke vkdyu vkSj,,,
,Hkkjr vkSj fo’o,,,,,,,"losnu’khyrk fo’y""k.k",,,
44. MPSE-002,State and Society in,,1,450.00,475.00,,60. MPA-004,Disaster Preparedness,1,400.00,450.00
,LatinAmerica,,,,,,,vkink r;kjh,,,
,ySfVu vefjdk ea,,,,,,,,,,
,jkT; vkSj lekt,,,,,,61. MPA-005,Disaster Response,1,350.00,400.00
,,,,,,,,vkink izfrfØ;k,,,
45. MPSE-003,Western Political Thought,,1,400.00,525.00,,,,,,
,(From Ploto to Marx),,,,,,62. MPA-006,Disaster Medicine,1,300.00,350.00
,if’peh jktuhfrd fpru,,,,,,,vkink fpfdRlk,,,
,,,,,,4,,,,,

Contd. from pre page,,,,,,,,,,,
Sl.,Course,Course Title,No. of,Pricing,,Sl.,Course,Course Title,No. of,Pricing,
No.,Code,,Blocks,in Rs.,,No.,Code,,Blocks,in Rs.,
